Player,Round ID,Date,Course,Weather Difficulty,Course Difficulty,Tournament,Benchmark,Shot,Hole,Score,Starting Distance,Starting Location,Ending Distance,Ending Location,Penalty,Starting SG,Ending SG,Strokes Gained
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,1,1,500,Tee,230,Fairway,No,4.71,3.59,0.12
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,1,2,230,Fairway,50,Fairway,No,3.59,2.70,-0.11
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,1,3,50,Fairway,8,Green,No,2.70,1.50,0.20
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,1,4,8,Green,0,Green,No,1.50,0.00,0.50
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,2,5,180,Tee,35,Green,No,3.16,2.04,0.12
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,2,6,35,Green,2,Green,No,2.04,1.04,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,2,7,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,3,9,440,Tee,145,Rough,Yes,4.33,3.33,-1.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,3,10,145,Rough,23,Rough,No,3.33,2.64,-0.31
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,3,11,23,Rough,4,Green,No,2.64,1.14,0.50
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,3,12,4,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,4,13,330,Tee,150,Fairway,No,4.03,3.08,-0.05
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,4,14,150,Fairway,43,Green,No,3.08,2.10,-0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,4,15,43,Green,3,Green,No,2.10,1.05,0.05
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,4,16,3,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,5,17,460,Tee,180,Fairway,No,4.44,3.24,0.20
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,5,18,180,Fairway,12,Fairway,No,3.24,2.21,0.03
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,5,19,12,Fairway,4,Green,No,2.21,1.14,0.07
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,5,20,4,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,6,21,340,Tee,35,Sand,No,4.07,2.82,0.25
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,6,22,35,Sand,34,Green,No,2.82,2.04,-0.22
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,6,23,34,Green,4,Green,No,2.04,1.14,-0.10
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,6,24,4,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,7,25,550,Tee,260,Fairway,No,5.03,3.81,0.22
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,7,26,260,Fairway,34,Rough,No,3.81,2.78,0.03
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,7,27,34,Rough,28,Green,No,2.78,1.99,-0.21
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,7,28,28,Green,2,Green,No,1.99,1.04,-0.05
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,5,7,29,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,8,30,230,Tee,43,Green,No,3.33,2.10,0.23
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,8,31,43,Green,4,Green,No,2.10,1.14,-0.04
